DistOd;TypeObject;Object_Code;ObjectName;Object_Code_T;Marker;Length;Width;Depth_min;Depth_max;OrientTD;OrientBD;MPoint_Orient;MPoint_Dist;Type_Def;DistML;DistMR;DistStL;DistStR;LinkStL;LinkStR;LinkML;LinkMR;Comments;Latitude;Longtitude;Altitude

0;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
50;3;0;;»зменение толщины стенки трубы;Ћќ∆№;;;;232;;;;;;;;;;;;;;;;;
100;4;2;;÷ельнот€нута€ труба;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
1230;1;0;K1; ран;»—“»Ќј;;;;;;;;;;;;;;;;;; ран (камера запуска) - 107,5 км;;;
2480;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
2530;3;0;;»зменение толщины стенки трубы;Ћќ∆№;;;;187;;;;;;;;;;;;;;;;;
2580;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,48;;;;;;;;;;;;;;;;
3540;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
3590;3;0;;»зменение толщины стенки трубы;Ћќ∆№;;;;232;;;;;;;;;;;;;;;;;
3640;4;0;;ѕродольный шов;Ћќ∆№;;;;;6,12;;;;;;;;;;;;;;;;
4270;1;3;;ќтвод-врезка;Ћќ∆№;;;;;;;;;;;;;;;;;;ƒу 35 мм, 12 час.;;;
4950;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
4960;2;5;;јномали€ кольцевого шва GWAN;Ћќ∆№;0;1506; 0,0 ; 0,0 ;3,17;7,24;;;0;;;;;;;;;;;;
5000;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,48;;;;;;;;;;;;;;;;
5380;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
5430;4;2;;÷ельнот€нута€ труба;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
6840;1;4;;“ройник;Ћќ∆№;;;;;;;;;;;;;;;;;;ƒу 1400 мм, 3 час.;;;
8320;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
8370;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,17;;;;;;;;;;;;;;;;
8610;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
8660;3;0;;»зменение толщины стенки трубы;Ћќ∆№;;;;187;;;;;;;;;;;;;;;;;
8710;4;0;;ѕродольный шов;Ћќ∆№;;;;;1,42;;;;;;;;;;;;;;;;
10140;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
10190;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,00;;;;;;;;;;;;;;;;
11530;1;3;;ќтвод-врезка;Ћќ∆№;;;;;;;;;;;;;;;;;;ƒу 20 мм, 12 час.;;;
17910;1;3;;ќтвод-врезка;Ћќ∆№;;;;;;;;;;;;;;;;;;ƒу 75 мм, 12 час.;;;
21470;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
21520;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,35;;;;;;;;;;;;;;;;
33010;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
33060;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,41;;;;;;;;;;;;;;;;
